year,month,day,team,completion_percentage
2016,2,28,Tampa Bay,61.70%
2016,2,28,LA Rams,57.89%
2016,2,28,Indianapolis,55.26%
2016,2,28,Houston,44.12%
2016,2,21,Washington,63.04%
2016,2,21,New Orleans,74.42%
2016,2,21,Seattle,64.58%
2016,2,21,Detroit,71.79%
2016,2,21,LA Chargers,60.00%
2016,2,21,Atlanta,66.67%
2016,2,21,Pittsburgh,64.86%
2016,2,21,Cincinnati,56.10%
2016,2,21,Kansas City,58.00%
2016,2,21,Minnesota,70.83%
2016,2,21,Philadelphia,78.95%
2016,2,21,Chicago,73.91%
2016,2,21,Buffalo,64.29%
2016,2,21,Dallas,68.75%
2016,2,21,New England,48.21%
2016,2,21,Baltimore,53.57%
2016,2,21,NY Giants,55.81%
2016,2,21,Arizona,56.10%
2016,2,21,Miami,65.79%
2016,2,21,Tennessee,55.56%
2016,2,21,Las Vegas,63.64%
2016,2,21,San Francisco,63.64%
2016,2,21,Cleveland,52.17%
2016,2,21,Green Bay,54.55%
2016,2,21,Denver,56.52%
2016,2,21,NY Jets,43.24%
2016,2,21,Carolina,43.90%
2016,2,21,Jacksonville,53.13%
2016,2,21,Tampa Bay,61.70%
2016,2,21,LA Rams,57.89%
2016,2,21,Indianapolis,55.26%
2016,2,21,Houston,44.12%
2016,2,14,Washington,63.04%
2016,2,14,New Orleans,74.42%
2016,2,14,Seattle,64.58%
2016,2,14,Detroit,71.79%
2016,2,14,LA Chargers,60.00%
2016,2,14,Atlanta,66.67%
2016,2,14,Pittsburgh,64.86%
2016,2,14,Cincinnati,56.10%
2016,2,14,Kansas City,58.00%
2016,2,14,Minnesota,70.83%
2016,2,14,Philadelphia,78.95%
2016,2,14,Chicago,73.91%
2016,2,14,Buffalo,64.29%
2016,2,14,Dallas,68.75%
2016,2,14,New England,48.21%
2016,2,14,Baltimore,53.57%
2016,2,14,NY Giants,55.81%
2016,2,14,Arizona,56.10%
2016,2,14,Miami,65.79%
2016,2,14,Tennessee,55.56%
2016,2,14,Las Vegas,63.64%
2016,2,14,San Francisco,63.64%
2016,2,14,Cleveland,52.17%
2016,2,14,Green Bay,54.55%
2016,2,14,Denver,56.52%
2016,2,14,NY Jets,43.24%
2016,2,14,Carolina,43.90%
2016,2,14,Jacksonville,53.13%
2016,2,14,Tampa Bay,61.70%
2016,2,14,LA Rams,57.89%
2016,2,14,Indianapolis,55.26%
2016,2,14,Houston,44.12%
2016,2,7,Washington,63.04%
2016,2,7,New Orleans,74.42%
2016,2,7,Seattle,64.58%
2016,2,7,Detroit,71.79%
2016,2,7,LA Chargers,60.00%
2016,2,7,Atlanta,66.67%
2016,2,7,Pittsburgh,64.86%
2016,2,7,Cincinnati,56.10%
2016,2,7,Kansas City,58.00%
2016,2,7,Minnesota,70.83%
2016,2,7,Philadelphia,78.95%
2016,2,7,Chicago,73.91%
2016,2,7,Buffalo,64.29%
2016,2,7,Dallas,68.75%
2016,2,7,New England,48.21%
2016,2,7,Baltimore,53.57%
2016,2,7,NY Giants,55.81%
2016,2,7,Arizona,56.10%
2016,2,7,Miami,65.79%
2016,2,7,Tennessee,55.56%
2016,2,7,Las Vegas,63.64%
2016,2,7,San Francisco,63.64%
2016,2,7,Cleveland,52.17%
2016,2,7,Carolina,67.86%
2016,2,7,Green Bay,54.55%
2016,2,7,Denver,53.13%
2016,2,7,NY Jets,43.24%
2016,2,7,Jacksonville,53.13%
2016,2,7,Tampa Bay,61.70%
2016,2,7,LA Rams,57.89%
2016,2,7,Indianapolis,55.26%
2016,2,7,Houston,44.12%
2016,1,31,Washington,67.39%
2016,1,31,New Orleans,69.44%
2016,1,31,Seattle,60.98%
2016,1,31,LA Chargers,63.27%
2016,1,31,Cincinnati,62.86%
2016,1,31,Pittsburgh,70.59%
2016,1,31,Detroit,78.38%
2016,1,31,Atlanta,76.67%
2016,1,31,Kansas City,68.18%
2016,1,31,Minnesota,60.00%
2016,1,31,New England,70.97%
2016,1,31,Arizona,67.86%
2016,1,31,Philadelphia,66.07%
2016,1,31,Baltimore,68.29%
2016,1,31,NY Giants,58.82%
2016,1,31,Chicago,74.07%
2016,1,31,Buffalo,72.22%
2016,1,31,Dallas,41.94%
2016,1,31,Tennessee,52.94%
2016,1,31,Miami,68.42%
2016,1,31,Cleveland,40.63%
2016,1,31,Las Vegas,60.53%
2016,1,31,NY Jets,63.41%
2016,1,31,San Francisco,66.67%
2016,1,31,Denver,69.23%
2016,1,31,Green Bay,55.17%
2016,1,31,Jacksonville,77.14%
2016,1,31,Carolina,56.67%
2016,1,31,Tampa Bay,51.72%
2016,1,31,LA Rams,60.87%
2016,1,31,Houston,61.54%
2016,1,31,Indianapolis,58.62%
2016,1,24,Washington,78.57%
2016,1,24,Seattle,70.00%
2016,1,24,New Orleans,65.38%
2016,1,24,LA Chargers,72.22%
2016,1,24,Cincinnati,71.43%
2016,1,24,Pittsburgh,72.73%
2016,1,24,Kansas City,84.00%
2016,1,24,Minnesota,85.00%
2016,1,24,Atlanta,62.86%
2016,1,24,Detroit,88.00%
2016,1,24,New England,65.71%
2016,1,24,Dallas,54.55%
2016,1,24,Arizona,60.61%
2016,1,24,Philadelphia,68.29%
2016,1,24,NY Giants,63.04%
2016,1,24,Baltimore,57.78%
2016,1,24,Tennessee,67.65%
2016,1,24,Buffalo,59.26%
2016,1,24,Cleveland,59.38%
2016,1,24,Chicago,70.27%
2016,1,24,Las Vegas,48.94%
2016,1,24,Miami,58.82%
2016,1,24,NY Jets,66.67%
2016,1,24,Green Bay,56.41%
2016,1,24,San Francisco,60.00%
2016,1,24,Denver,47.73%
2016,1,24,Carolina,55.56%
2016,1,24,Tampa Bay,58.00%
2016,1,24,Jacksonville,60.53%
2016,1,24,LA Rams,82.35%
2016,1,24,Indianapolis,56.25%
2016,1,24,Houston,60.71%
2016,1,17,Washington,77.42%
2016,1,17,New Orleans,75.61%
2016,1,17,Seattle,72.73%
2016,1,17,LA Chargers,55.81%
2016,1,17,Cincinnati,67.57%
2016,1,17,Atlanta,60.98%
2016,1,17,Pittsburgh,76.92%
2016,1,17,Dallas,44.83%
2016,1,17,Minnesota,69.44%
2016,1,17,Kansas City,65.22%
2016,1,17,New England,73.33%
2016,1,17,Detroit,65.22%
2016,1,17,Arizona,71.43%
2016,1,17,Baltimore,57.50%
2016,1,17,NY Giants,87.10%
2016,1,17,Philadelphia,60.53%
2016,1,17,Buffalo,52.78%
2016,1,17,Cleveland,67.74%
2016,1,17,Tennessee,55.00%
2016,1,17,Las Vegas,41.38%
2016,1,17,Chicago,61.29%
2016,1,17,Miami,60.98%
2016,1,17,Denver,68.63%
2016,1,17,Green Bay,62.86%
2016,1,17,San Francisco,64.29%
2016,1,17,NY Jets,58.33%
2016,1,17,Carolina,70.37%
2016,1,17,Tampa Bay,56.25%
2016,1,17,Indianapolis,46.51%
2016,1,17,Jacksonville,53.33%
2016,1,17,Houston,50.00%
2016,1,17,LA Rams,63.64%
2016,1,10,Washington,70.97%
2016,1,10,New Orleans,57.14%
2016,1,10,Seattle,75.00%
2016,1,10,LA Chargers,51.43%
2016,1,10,Dallas,55.17%
2016,1,10,Cincinnati,72.73%
2016,1,10,Atlanta,66.67%
2016,1,10,Baltimore,69.57%
2016,1,10,Kansas City,72.73%
2016,1,10,Buffalo,52.38%
2016,1,10,Minnesota,60.71%
2016,1,10,Detroit,65.71%
2016,1,10,Pittsburgh,61.54%
2016,1,10,Las Vegas,64.58%
2016,1,10,Tennessee,68.97%
2016,1,10,New England,52.63%
2016,1,10,Philadelphia,58.33%
2016,1,10,Arizona,65.85%
2016,1,10,Cleveland,65.79%
2016,1,10,NY Giants,52.94%
2016,1,10,Chicago,58.06%
2016,1,10,Miami,47.37%
2016,1,10,Green Bay,66.67%
2016,1,10,NY Jets,72.00%
2016,1,10,San Francisco,56.25%
2016,1,10,Denver,61.54%
2016,1,10,Tampa Bay,66.67%
2016,1,10,Indianapolis,58.82%
2016,1,10,Carolina,68.29%
2016,1,10,Jacksonville,66.67%
2016,1,10,Houston,60.47%
2016,1,10,LA Rams,42.86%
2016,1,3,New Orleans,56.82%
2016,1,3,LA Chargers,67.44%
2016,1,3,Washington,68.97%
2016,1,3,Seattle,70.00%
2016,1,3,Dallas,60.00%
2016,1,3,Atlanta,70.97%
2016,1,3,Cincinnati,75.00%
2016,1,3,New England,54.76%
2016,1,3,Buffalo,55.26%
2016,1,3,Minnesota,71.43%
2016,1,3,Pittsburgh,62.71%
2016,1,3,Philadelphia,70.37%
2016,1,3,Baltimore,58.82%
2016,1,3,Kansas City,63.33%
2016,1,3,Detroit,71.05%
2016,1,3,Las Vegas,63.16%
2016,1,3,Tennessee,45.95%
2016,1,3,Arizona,60.00%
2016,1,3,NY Giants,50.98%
2016,1,3,Chicago,61.29%
2016,1,3,Cleveland,58.33%
2016,1,3,Miami,56.90%
2016,1,3,San Francisco,69.44%
2016,1,3,Green Bay,51.16%
2016,1,3,Denver,54.76%
2016,1,3,NY Jets,59.46%
2016,1,3,Indianapolis,61.90%
2016,1,3,Tampa Bay,55.56%
2016,1,3,LA Rams,67.92%
2016,1,3,Houston,77.78%
2016,1,3,Carolina,59.26%
2016,1,3,Jacksonville,61.22%
2015,12,27,Washington,67.39%
2015,12,27,Seattle,70.00%
2015,12,27,New Orleans,65.38%
2015,12,27,LA Chargers,63.27%
2015,12,27,Cincinnati,71.43%
2015,12,27,Pittsburgh,72.73%
2015,12,27,Kansas City,84.00%
2015,12,27,Minnesota,85.00%
2015,12,27,Atlanta,62.86%
2015,12,27,Detroit,88.00%
2015,12,27,New England,65.71%
2015,12,27,Philadelphia,66.07%
2015,12,27,Dallas,54.55%
2015,12,27,Arizona,60.61%
2015,12,27,NY Giants,63.04%
2015,12,27,Baltimore,57.78%
2015,12,27,Tennessee,67.65%
2015,12,27,Buffalo,59.26%
2015,12,27,Cleveland,59.38%
2015,12,27,Chicago,70.27%
2015,12,27,Las Vegas,60.53%
2015,12,27,Miami,58.82%
2015,12,27,NY Jets,66.67%
2015,12,27,Green Bay,56.41%
2015,12,27,San Francisco,60.00%
2015,12,27,Denver,47.73%
2015,12,27,Carolina,55.56%
2015,12,27,Tampa Bay,58.00%
2015,12,27,Jacksonville,60.53%
2015,12,27,LA Rams,82.35%
2015,12,27,Indianapolis,56.25%
2015,12,27,Houston,60.71%
2015,12,20,Washington,77.42%
2015,12,20,New Orleans,75.61%
2015,12,20,Seattle,72.73%
2015,12,20,LA Chargers,55.81%
2015,12,20,Cincinnati,67.57%
2015,12,20,Atlanta,60.98%
2015,12,20,Pittsburgh,76.92%
2015,12,20,Minnesota,69.44%
2015,12,20,Kansas City,65.22%
2015,12,20,New England,73.33%
2015,12,20,Detroit,65.22%
2015,12,20,Arizona,71.43%
2015,12,20,Baltimore,57.50%
2015,12,20,Dallas,54.55%
2015,12,20,NY Giants,87.10%
2015,12,20,Philadelphia,60.53%
2015,12,20,Buffalo,52.78%
2015,12,20,Cleveland,67.74%
2015,12,20,Tennessee,55.00%
2015,12,20,Las Vegas,41.38%
2015,12,20,Chicago,61.29%
2015,12,20,Miami,60.98%
2015,12,20,Denver,68.63%
2015,12,20,Green Bay,62.86%
2015,12,20,NY Jets,66.67%
2015,12,20,San Francisco,64.29%
2015,12,20,Carolina,70.37%
2015,12,20,Tampa Bay,58.00%
2015,12,20,LA Rams,82.35%
2015,12,20,Indianapolis,46.51%
2015,12,20,Jacksonville,53.33%
2015,12,20,Houston,50.00%
2015,12,13,Washington,70.97%
2015,12,13,New Orleans,57.14%
2015,12,13,Seattle,75.00%
2015,12,13,LA Chargers,51.43%
2015,12,13,Dallas,55.17%
2015,12,13,Cincinnati,72.73%
2015,12,13,Atlanta,66.67%
2015,12,13,Minnesota,69.44%
2015,12,13,Baltimore,69.57%
2015,12,13,Kansas City,72.73%
2015,12,13,Buffalo,52.38%
2015,12,13,Arizona,71.43%
2015,12,13,Detroit,65.71%
2015,12,13,Pittsburgh,61.54%
2015,12,13,Las Vegas,64.58%
2015,12,13,Tennessee,68.97%
2015,12,13,New England,52.63%
2015,12,13,Philadelphia,58.33%
2015,12,13,Cleveland,65.79%
2015,12,13,NY Giants,52.94%
2015,12,13,Chicago,58.06%
2015,12,13,Miami,47.37%
2015,12,13,Green Bay,66.67%
2015,12,13,NY Jets,72.00%
2015,12,13,San Francisco,56.25%
2015,12,13,Denver,61.54%
2015,12,13,Tampa Bay,66.67%
2015,12,13,Indianapolis,58.82%
2015,12,13,Carolina,68.29%
2015,12,13,Jacksonville,66.67%
2015,12,13,Houston,60.47%
2015,12,13,LA Rams,42.86%
2015,12,6,New Orleans,56.82%
2015,12,6,LA Chargers,67.44%
2015,12,6,Washington,68.97%
2015,12,6,Seattle,70.00%
2015,12,6,Dallas,60.00%
2015,12,6,Atlanta,70.97%
2015,12,6,Cincinnati,75.00%
2015,12,6,New England,54.76%
2015,12,6,Buffalo,55.26%
2015,12,6,Minnesota,71.43%
2015,12,6,Pittsburgh,62.71%
2015,12,6,Detroit,65.71%
2015,12,6,Philadelphia,70.37%
2015,12,6,Baltimore,58.82%
2015,12,6,Kansas City,63.33%
2015,12,6,Las Vegas,63.16%
2015,12,6,Tennessee,45.95%
2015,12,6,Arizona,60.00%
2015,12,6,NY Giants,50.98%
2015,12,6,Chicago,61.29%
2015,12,6,Cleveland,58.33%
2015,12,6,Miami,56.90%
2015,12,6,Green Bay,66.67%
2015,12,6,San Francisco,69.44%
2015,12,6,Denver,54.76%
2015,12,6,NY Jets,59.46%
2015,12,6,Indianapolis,61.90%
2015,12,6,Tampa Bay,55.56%
2015,12,6,LA Rams,67.92%
2015,12,6,Houston,77.78%
2015,12,6,Carolina,59.26%
2015,12,6,Jacksonville,61.22%
2015,11,29,Dallas,62.96%
2015,11,29,Seattle,75.00%
2015,11,29,New Orleans,64.44%
2015,11,29,LA Chargers,65.52%
2015,11,29,New England,62.96%
2015,11,29,Washington,82.50%
2015,11,29,Green Bay,55.17%
2015,11,29,Cincinnati,66.67%
2015,11,29,Buffalo,57.14%
2015,11,29,Pittsburgh,55.17%
2015,11,29,Las Vegas,77.42%
2015,11,29,Minnesota,71.43%
2015,11,29,Cleveland,81.08%
2015,11,29,NY Giants,54.17%
2015,11,29,Arizona,68.97%
2015,11,29,Atlanta,57.89%
2015,11,29,Detroit,69.23%
2015,11,29,Tennessee,62.86%
2015,11,29,Baltimore,65.00%
2015,11,29,Kansas City,65.63%
2015,11,29,Miami,95.00%
2015,11,29,Philadelphia,56.52%
2015,11,29,Denver,54.17%
2015,11,29,NY Jets,56.41%
2015,11,29,San Francisco,54.17%
2015,11,29,Chicago,63.41%
2015,11,29,Tampa Bay,72.41%
2015,11,29,LA Rams,65.22%
2015,11,29,Indianapolis,52.27%
2015,11,29,Houston,46.94%
2015,11,29,Carolina,58.33%
2015,11,29,Jacksonville,44.83%
2015,11,22,Dallas,66.67%
2015,11,22,New England,62.16%
2015,11,22,New Orleans,76.92%
2015,11,22,LA Chargers,66.15%
2015,11,22,Buffalo,66.67%
2015,11,22,Seattle,60.00%
2015,11,22,Pittsburgh,55.00%
2015,11,22,Green Bay,55.17%
2015,11,22,Cincinnati,66.67%
2015,11,22,NY Giants,63.16%
2015,11,22,Washington,56.82%
2015,11,22,Atlanta,68.18%
2015,11,22,Las Vegas,66.67%
2015,11,22,Minnesota,54.84%
2015,11,22,Arizona,64.44%
2015,11,22,Tennessee,63.41%
2015,11,22,Detroit,64.29%
2015,11,22,Philadelphia,63.16%
2015,11,22,NY Jets,73.08%
2015,11,22,Cleveland,51.28%
2015,11,22,Baltimore,62.26%
2015,11,22,Kansas City,59.46%
2015,11,22,San Francisco,59.26%
2015,11,22,Denver,54.17%
2015,11,22,Chicago,63.41%
2015,11,22,Miami,75.86%
2015,11,22,Indianapolis,60.00%
2015,11,22,Houston,66.67%
2015,11,22,LA Rams,38.71%
2015,11,22,Jacksonville,56.60%
2015,11,22,Tampa Bay,68.42%
2015,11,22,Carolina,55.56%
2015,11,15,Dallas,66.67%
2015,11,15,New England,74.07%
2015,11,15,LA Chargers,72.92%
2015,11,15,Pittsburgh,50.00%
2015,11,15,Seattle,65.22%
2015,11,15,Green Bay,63.33%
2015,11,15,Buffalo,61.11%
2015,11,15,New Orleans,60.47%
2015,11,15,Washington,65.63%
2015,11,15,Cincinnati,68.18%
2015,11,15,Minnesota,65.85%
2015,11,15,NY Giants,75.93%
2015,11,15,Las Vegas,66.67%
2015,11,15,Cleveland,70.59%
2015,11,15,Atlanta,57.14%
2015,11,15,Arizona,66.67%
2015,11,15,Tennessee,65.63%
2015,11,15,Denver,62.86%
2015,11,15,Philadelphia,71.11%
2015,11,15,Detroit,58.57%
2015,11,15,Kansas City,53.33%
2015,11,15,San Francisco,65.71%
2015,11,15,Baltimore,54.29%
2015,11,15,NY Jets,55.17%
2015,11,15,Chicago,57.78%
2015,11,15,Indianapolis,62.07%
2015,11,15,LA Rams,38.71%
2015,11,15,Jacksonville,69.70%
2015,11,15,Miami,43.18%
2015,11,15,Houston,75.61%
2015,11,15,Tampa Bay,68.42%
2015,11,15,Carolina,50.00%
2015,11,8,Dallas,61.54%
2015,11,8,Pittsburgh,73.08%
2015,11,8,Green Bay,68.75%
2015,11,8,New England,78.57%
2015,11,8,Buffalo,66.67%
2015,11,8,Seattle,76.92%
2015,11,8,New Orleans,80.49%
2015,11,8,LA Chargers,60.53%
2015,11,8,Washington,67.39%
2015,11,8,Cincinnati,70.83%
2015,11,8,Atlanta,70.37%
2015,11,8,Minnesota,65.85%
2015,11,8,Kansas City,68.89%
2015,11,8,Detroit,68.57%
2015,11,8,Las Vegas,58.82%
2015,11,8,Baltimore,61.76%
2015,11,8,Denver,62.96%
2015,11,8,Arizona,63.04%
2015,11,8,NY Giants,57.14%
2015,11,8,Tennessee,61.36%
2015,11,8,Cleveland,78.05%
2015,11,8,LA Rams,66.67%
2015,11,8,San Francisco,52.00%
2015,11,8,Philadelphia,53.57%
2015,11,8,NY Jets,55.17%
2015,11,8,Chicago,65.12%
2015,11,8,Indianapolis,63.83%
2015,11,8,Miami,43.18%
2015,11,8,Carolina,50.00%
2015,11,8,Tampa Bay,60.47%
2015,11,8,Jacksonville,56.00%
2015,11,8,Houston,50.88%
2015,11,1,Dallas,84.62%
2015,11,1,Pittsburgh,83.33%
2015,11,1,LA Chargers,65.00%
2015,11,1,Buffalo,72.41%
2015,11,1,Green Bay,68.57%
2015,11,1,New England,78.57%
2015,11,1,Seattle,66.67%
2015,11,1,Washington,61.22%
2015,11,1,New Orleans,81.58%
2015,11,1,Minnesota,54.17%
2015,11,1,Atlanta,66.67%
2015,11,1,Cincinnati,62.50%
2015,11,1,Las Vegas,62.50%
2015,11,1,Baltimore,65.31%
2015,11,1,San Francisco,47.37%
2015,11,1,NY Giants,71.88%
2015,11,1,Detroit,68.89%
2015,11,1,Denver,73.81%
2015,11,1,Arizona,62.50%
2015,11,1,Kansas City,60.00%
2015,11,1,Tennessee,61.36%
2015,11,1,Philadelphia,50.00%
2015,11,1,NY Jets,60.34%
2015,11,1,Miami,53.06%
2015,11,1,LA Rams,65.52%
2015,11,1,Chicago,52.94%
2015,11,1,Carolina,64.52%
2015,11,1,Cleveland,57.14%
2015,11,1,Indianapolis,60.00%
2015,11,1,Jacksonville,51.52%
2015,11,1,Houston,61.54%
2015,11,1,Tampa Bay,47.22%
2015,10,25,Dallas,66.67%
2015,10,25,New England,62.16%
2015,10,25,New Orleans,76.92%
2015,10,25,LA Chargers,66.15%
2015,10,25,Seattle,75.00%
2015,10,25,Buffalo,66.67%
2015,10,25,Pittsburgh,55.00%
2015,10,25,Green Bay,55.17%
2015,10,25,Cincinnati,66.67%
2015,10,25,NY Giants,63.16%
2015,10,25,Washington,56.82%
2015,10,25,Atlanta,68.18%
2015,10,25,Las Vegas,66.67%
2015,10,25,Minnesota,54.84%
2015,10,25,Arizona,64.44%
2015,10,25,Tennessee,63.41%
2015,10,25,Detroit,64.29%
2015,10,25,Philadelphia,63.16%
2015,10,25,NY Jets,73.08%
2015,10,25,Cleveland,51.28%
2015,10,25,Baltimore,62.26%
2015,10,25,Kansas City,59.46%
2015,10,25,Denver,54.17%
2015,10,25,San Francisco,54.17%
2015,10,25,Chicago,63.41%
2015,10,25,Miami,75.86%
2015,10,25,Indianapolis,60.00%
2015,10,25,Houston,66.67%
2015,10,25,LA Rams,38.71%
2015,10,25,Jacksonville,56.60%
2015,10,25,Tampa Bay,68.42%
2015,10,25,Carolina,55.56%
2015,10,18,Dallas,66.67%
2015,10,18,New England,74.07%
2015,10,18,LA Chargers,72.92%
2015,10,18,Pittsburgh,50.00%
2015,10,18,Seattle,65.22%
2015,10,18,Green Bay,63.33%
2015,10,18,New Orleans,76.92%
2015,10,18,Buffalo,61.11%
2015,10,18,Washington,65.63%
2015,10,18,Cincinnati,68.18%
2015,10,18,Minnesota,65.85%
2015,10,18,NY Giants,75.93%
2015,10,18,Atlanta,68.18%
2015,10,18,Las Vegas,66.67%
2015,10,18,Cleveland,70.59%
2015,10,18,Arizona,66.67%
2015,10,18,Tennessee,65.63%
2015,10,18,Denver,62.86%
2015,10,18,Philadelphia,71.11%
2015,10,18,Detroit,58.57%
2015,10,18,Kansas City,53.33%
2015,10,18,San Francisco,65.71%
2015,10,18,Baltimore,54.29%
2015,10,18,NY Jets,55.17%
2015,10,18,Chicago,57.78%
2015,10,18,Indianapolis,62.07%
2015,10,18,LA Rams,38.71%
2015,10,18,Jacksonville,69.70%
2015,10,18,Miami,43.18%
2015,10,18,Houston,75.61%
2015,10,18,Tampa Bay,68.42%
2015,10,18,Carolina,50.00%
2015,10,11,Dallas,61.54%
2015,10,11,Pittsburgh,73.08%
2015,10,11,Green Bay,68.75%
2015,10,11,New England,78.57%
2015,10,11,Buffalo,66.67%
2015,10,11,Seattle,76.92%
2015,10,11,New Orleans,80.49%
2015,10,11,LA Chargers,60.53%
2015,10,11,Washington,67.39%
2015,10,11,Cincinnati,70.83%
2015,10,11,Atlanta,70.37%
2015,10,11,Minnesota,65.85%
2015,10,11,Kansas City,68.89%
2015,10,11,Detroit,68.57%
2015,10,11,Las Vegas,58.82%
2015,10,11,Baltimore,61.76%
2015,10,11,Denver,62.96%
2015,10,11,Arizona,63.04%
2015,10,11,NY Giants,57.14%
2015,10,11,Tennessee,61.36%
2015,10,11,Cleveland,78.05%
2015,10,11,LA Rams,66.67%
2015,10,11,San Francisco,52.00%
2015,10,11,Philadelphia,53.57%
2015,10,11,NY Jets,55.17%
2015,10,11,Chicago,65.12%
2015,10,11,Indianapolis,62.07%
2015,10,11,Miami,43.18%
2015,10,11,Houston,75.61%
2015,10,11,Carolina,50.00%
2015,10,11,Tampa Bay,60.47%
2015,10,11,Jacksonville,56.00%
2015,10,4,Dallas,84.62%
2015,10,4,LA Chargers,65.00%
2015,10,4,Pittsburgh,73.08%
2015,10,4,Buffalo,72.41%
2015,10,4,Green Bay,68.57%
2015,10,4,New England,78.57%
2015,10,4,Seattle,66.67%
2015,10,4,Washington,61.22%
2015,10,4,New Orleans,81.58%
2015,10,4,Minnesota,54.17%
2015,10,4,Atlanta,66.67%
2015,10,4,Cincinnati,62.50%
2015,10,4,Las Vegas,62.50%
2015,10,4,San Francisco,47.37%
2015,10,4,NY Giants,71.88%
2015,10,4,Baltimore,61.76%
2015,10,4,Detroit,68.89%
2015,10,4,Denver,73.81%
2015,10,4,Arizona,62.50%
2015,10,4,Kansas City,60.00%
2015,10,4,Tennessee,61.36%
2015,10,4,Philadelphia,50.00%
2015,10,4,NY Jets,60.34%
2015,10,4,Miami,53.06%
2015,10,4,LA Rams,65.52%
2015,10,4,Chicago,52.94%
2015,10,4,Carolina,64.52%
2015,10,4,Cleveland,57.14%
2015,10,4,Indianapolis,60.00%
2015,10,4,Jacksonville,51.52%
2015,10,4,Houston,61.54%
2015,10,4,Tampa Bay,47.22%
2015,9,27,LA Chargers,77.78%
2015,9,27,Dallas,73.53%
2015,9,27,Green Bay,75.76%
2015,9,27,Buffalo,76.67%
2015,9,27,Minnesota,77.78%
2015,9,27,Pittsburgh,77.78%
2015,9,27,Seattle,63.33%
2015,9,27,San Francisco,71.74%
2015,9,27,New England,64.41%
2015,9,27,Washington,61.22%
2015,9,27,Cincinnati,61.54%
2015,9,27,Las Vegas,65.22%
2015,9,27,Miami,68.18%
2015,9,27,Philadelphia,62.16%
2015,9,27,Atlanta,65.22%
2015,9,27,Kansas City,64.00%
2015,9,27,Baltimore,71.11%
2015,9,27,NY Giants,71.88%
2015,9,27,Arizona,70.83%
2015,9,27,Tennessee,56.76%
2015,9,27,NY Jets,64.71%
2015,9,27,New Orleans,63.16%
2015,9,27,Detroit,60.38%
2015,9,27,LA Rams,53.13%
2015,9,27,Denver,57.78%
2015,9,27,Chicago,68.75%
2015,9,27,Tampa Bay,66.67%
2015,9,27,Cleveland,53.33%
2015,9,27,Jacksonville,54.55%
2015,9,27,Indianapolis,56.76%
2015,9,27,Carolina,48.65%
2015,9,27,Houston,46.55%
2015,9,20,LA Chargers,83.33%
2015,9,20,Tennessee,81.25%
2015,9,20,Dallas,80.00%
2015,9,20,Green Bay,78.26%
2015,9,20,New England,78.13%
2015,9,20,Seattle,78.05%
2015,9,20,Buffalo,73.68%
2015,9,20,Cincinnati,73.53%
2015,9,20,Minnesota,71.88%
2015,9,20,Las Vegas,69.77%
2015,9,20,Philadelphia,69.23%
2015,9,20,Pittsburgh,68.42%
2015,9,20,Washington,67.74%
2015,9,20,Atlanta,67.65%
2015,9,20,LA Rams,66.67%
2015,9,20,Kansas City,64.00%
2015,9,20,San Francisco,65.38%
2015,9,20,Miami,64.71%
2015,9,20,Detroit,63.33%
2015,9,20,New Orleans,62.50%
2015,9,20,NY Jets,62.50%
2015,9,20,Arizona,59.38%
2015,9,20,Denver,57.78%
2015,9,20,Carolina,58.06%
2015,9,20,Cleveland,56.25%
2015,9,20,Baltimore,56.25%
2015,9,20,NY Giants,55.56%
2015,9,20,Houston,55.32%
2015,9,20,Jacksonville,55.00%
2015,9,20,Indianapolis,53.06%
2015,9,20,Chicago,50.00%
2015,9,20,Tampa Bay,48.48%
2015,9,13,New England,78.13%
2015,9,13,Pittsburgh,68.42%
2015,9,6,New Orleans,63.16%
2015,9,6,Dallas,78.95%
2015,9,6,Pittsburgh,68.75%
2015,9,6,Washington,65.85%
2015,9,6,Miami,58.97%
2015,9,6,LA Chargers,58.82%
2015,9,6,Atlanta,61.70%
2015,9,6,Denver,56.52%
2015,9,6,Chicago,63.89%
2015,9,6,Kansas City,59.26%
2015,9,6,Green Bay,55.88%
2015,9,6,New England,65.71%
2015,9,6,LA Rams,70.27%
2015,9,6,Cincinnati,51.43%
2015,9,6,NY Giants,52.83%
2015,9,6,Buffalo,69.57%
2015,9,6,Seattle,50.00%
2015,9,6,Minnesota,68.00%
2015,9,6,Baltimore,62.22%
2015,9,6,Philadelphia,63.89%
2015,9,6,Indianapolis,36.36%
2015,9,6,Detroit,66.67%
2015,9,6,Houston,71.43%
2015,9,6,Carolina,63.89%
2015,9,6,San Francisco,57.69%
2015,9,6,Jacksonville,44.12%
2015,9,6,Tennessee,41.94%
2015,9,6,Las Vegas,50.00%
2015,9,6,NY Jets,77.78%
2015,9,6,Tampa Bay,60.87%
2015,9,6,Arizona,57.14%
2015,9,6,Cleveland,50.00%
2015,2,22,New Orleans,63.16%
2015,2,22,Dallas,78.95%
2015,2,22,Pittsburgh,68.75%
2015,2,22,Washington,65.85%
2015,2,22,Miami,58.97%
2015,2,22,LA Chargers,58.82%
2015,2,22,Atlanta,61.70%
2015,2,22,Denver,56.52%
2015,2,22,Chicago,63.89%
2015,2,22,Kansas City,59.26%
2015,2,22,Green Bay,55.88%
2015,2,22,New England,65.71%
